date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:59	156935/156935	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-26507%22	https://new.axilthemes.com/demo/template/etrade/index-4.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/index-4.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:00	197036/197036	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-301ac%22	https://new.axilthemes.com/demo/template/etrade/index-5.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/index-5.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:01	152075/152075	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-2520b%22	https://new.axilthemes.com/demo/template/etrade/index-7.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/index-7.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:01	72066/72066	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-11982%22	https://new.axilthemes.com/demo/template/etrade/shop-sidebar.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/shop-sidebar.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:02	80330/80330	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-139ca%22	https://new.axilthemes.com/demo/template/etrade/shop.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/shop.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:02	82087/82087	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-140a7%22	https://new.axilthemes.com/demo/template/etrade/single-product.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/single-product.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:03	79474/79474	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-13672%22	https://new.axilthemes.com/demo/template/etrade/single-product-2.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/single-product-2.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:03	96897/96897	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-17a81%22	https://new.axilthemes.com/demo/template/etrade/single-product-3.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/single-product-3.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:04	78743/78743	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-13397%22	https://new.axilthemes.com/demo/template/etrade/single-product-4.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/single-product-4.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:12:04	92203/92203	---MCZ	200	added ('OK')	text/html	etag:W/%22645b7bdf-1682b%22	https://new.axilthemes.com/demo/template/etrade/single-product-5.html	C:/My%20Web%20Sites/etrade/new.axilthemes.com/demo/template/etrade/single-product-5.html	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
